message_type,name
S,system_event
R,stock_directory
H,stock_trading_action
Y,reg_sho_short_sale_price_test_restricted_indicator
L,market_participant_position
V,market_wide_circuit_breaker_decline_level
W,market-wide_circuit_breaker_status
K,ipo_quoting_period_update
J,luld_auction_collar
h,operational_halt
A,add_order_no_mpid_attribution
F,add_order_mpid_attribution
E,order_executed
C,order_executed_with_price
X,order_cancel
D,order_delete
U,order_replace
P,trade
Q,cross_trade
B,broken_trade
I,noii
