name,bookings,rating,reviews,price,cuisine,location
Hudson West Kitchen + Craft Bar (formerly Ousia),9,4.6,943,3,American,Hell's Kitchen
HAVEN Riverfront Restaurant and Bar,19,4.6,2693,3,Contemporary American,Edgewater
Fleming's Steakhouse - Edgewater,11,4.7,988,3,Steak,Edgewater
The Leopard at des Artistes,59,4.6,2329,4,Italian,Upper West Side
The Mermaid Inn Uptown,124,4.8,3860,3,Seafood,Upper West Side
IL Carino Restaurant,5,4.6,168,3,Italian,Upper East Side
Dagon,29,4.6,420,3,Mediterranean,Upper West Side
Carmine's - 91st Street - NYC,129,4.5,6600,3,Italian,Upper West Side
Awadh,15,4.4,767,3,Indian,Upper West Side
Waterside Restaurant and Catering,18,4.3,1077,3,American,North Bergen
Serafina 105,NA,4.5,236,2,Italian,Upper West Side
Rebecca's,1,4.6,602,3,Cuban,Edgewater
Cafe Du Soleil,5,4.5,1277,3,French,Upper West Side
Elea,6,4.7,683,4,Greek,Upper West Side
Cibo e Vino,16,4.6,563,3,Italian,Upper West Side
Pier 115 Bar and Grill,25,4.4,710,2,American,Edgewater
Gyu-Kaku - Manhattan - Amsterdam Ave.,17,4.6,128,2,Japanese,Upper West Side
Calle Ocho,5,4.5,3893,3,Latin American,Upper West Side
Noche Mexicana,1,3.7,64,2,Mexican,Upper West Side
Nice Matin,58,4.4,3231,2,French,Upper West Side
French Roast Uptown,NA,4.5,397,3,French American,Upper West Side
The Milling Room,5,4.5,2021,3,American,Upper West Side
Le Monde,NA,4.4,365,2,French,Upper West Side
Tavern on the Green,243,4.7,12175,3,American,Midtown West
Cafe Luxembourg,134,4.7,6460,3,French American,Upper West Side
Momoya,75,4.6,71,3,Japanese,Upper West Side
Bodrum Turkish Mediterranean,18,4.7,1057,2,Turkish,Upper West Side
Osteria 106,12,4.7,442,2,Italian,Upper West Side
Son Cubano - New Jersey,89,4.4,1961,3,Cuban,West New York
Hi-Life Restaurant - Upper West Side,9,4.7,539,2,American,Upper West Side
Trattoria iL Gusto Wine Bar,8,4.4,314,2,Italian,Upper West Side
Lokal Mediterranean Kitchen,NA,4.5,513,3,Mediterranean,Upper West Side
La Sirene UWS,21,4.5,738,3,French,Upper West Side
Felice - Columbus Ave,72,4.4,87,2,Italian,Upper West Side
The Smith- Lincoln Square,265,4.6,8546,2,American,Lincoln Square
Pekarna,7,4.3,6,2,Contemporary American,Upper West Side
Shaking Crab - Upper West Side,NA,4.5,327,2,Cajun,Upper West Side
5 Napkin Burger - Upper West Side,9,4.5,1324,2,Burgers,Upper West Side
Salumeria Rosi,22,4.7,1246,3,Italian,Upper West Side
Sushi Yasaka,77,4.8,2221,3,Japanese,Upper West Side
Red Rooster Harlem,71,4.6,8210,3,Southern,Harlem
Serafina Upper West,22,4.5,438,2,Italian,Upper West Side
Sushi of Gari - Columbus Avenue,34,4.9,986,4,Sushi,Upper West Side
Haru Sushi - Amsterdam Ave,4,4.5,192,3,Japanese,Upper West Side
Ortomare Ristorante Pizzeria,27,4.8,168,2,Italian,Upper West Side
Marlow Bistro,7,4.5,263,2,Mediterranean,Upper West Side
Pappardella,35,4.5,1738,3,Italian,Upper West Side
Cafe Fiorello,110,4.6,7869,3,Italian,Lincoln Square
Boilery Upper West Side,NA,4.7,73,3,Seafood,Upper West Side
Anār Indian Cuisine,9,4.4,4,2,Indian,Upper West Side
Arte Cafe - Upper West Side,24,4.3,3291,3,Italian,Upper West Side
Row House,4,4.3,618,2,American,Harlem
Rustica Lounge Bar & Restaurant,56,3.9,324,3,Italian,Cliffside Park
Pomodoro Rosso,14,4.7,1368,2,Italian,Upper West Side
Island,41,4.4,533,3,American,Upper East Side
Lido,30,4.6,1450,2,Italian,Harlem
Sfoglia,53,4.8,1530,3,Italian,Upper East Side
New Amsterdam Burger and Bar,31,4.5,64,3,American,Upper West Side
Omakase Shiro,9,4.7,61,4,Sushi,Lincoln Square
Marcus at Nohu Rooftop,7,4.0,1177,2,American,Weehawken
The Highwood,6,4.5,236,2,American,Weehawken
Flame NYC - No Hibachi (Regular Tables Only),11,4.5,33,3,Asian,Upper West Side
Blue Ribbon Sushi Bar & Grill,7,4.7,138,4,Sushi,Columbus Circle
The Ribbon - UWS,15,4.4,1440,3,Contemporary American,Upper West Side
BIXI,11,4.7,5,2,Asian,Harlem
Empire Rooftop @ Empire Hotel,39,4.6,455,3,Bar / Lounge / Bottle Service,Lincoln Square
Orsay,70,4.5,2799,4,French,Upper East Side
Santa Fe,NA,4.6,672,3,Mexican / Southwestern,Upper West Side
Cafe d'Alsace,40,4.6,2376,2,French,Upper East Side
Rosa Mexicano by Lincoln Center,91,4.2,7865,3,Mexican,Lincoln Square
Maison Harlem,14,4.7,819,2,French,Harlem
Vicolina,6,4.5,239,3,Italian,Upper East Side
The Grange,5,4.5,412,3,American,Harlem
Toloache - Upper East Side,39,4.7,1163,3,Mexican,Upper East Side
Caravaggio New York,19,4.6,1100,3,Italian,Upper East Side
Thai72,NA,4.5,324,2,Thai,Upper West Side
Il Violino,NA,4.6,1482,3,Italian,Upper West Side
Bocado Cafe,24,4.5,750,2,American,Upper East Side
Korali,26,4.6,986,3,Greek,Upper East Side
Porter House Bar and Grill,57,4.7,4918,4,American,Midtown West
BLT Prime,17,4.7,443,2,Steakhouse,Upper East Side
Serafina 79,48,4.3,486,3,Italian,Upper East Side
Masseria dei Vini,32,4.7,1965,3,Italian,Midtown West
Coppola's West,9,4.3,1012,3,Italian,Upper West Side
Bettola NYC,2,4.5,512,2,Italian,Upper West Side
Barawine,23,4.5,479,2,French,Harlem
Villa Amalfi,NA,4.7,79,3,Italian,Cliffside Park
Shun Lee West,40,4.3,2882,3,Chinese,Lincoln Square
Siena Cafe,NA,4.5,288,3,Italian,Upper East Side
Blume/Hütte,7,4.5,149,3,Austrian,Upper East Side
Skinny's Cantina on the Hudson,NA,4.2,24,2,Mexican,Harlem
Tarallucci e Vino - Upper West Side,NA,4.6,144,3,Italian,Upper West Side
Jacques Brasserie,20,4.5,1048,3,French,Upper East Side
Joanne Trattoria,15,4.0,2688,3,Italian,Lincoln Square
Manny's Bistro,3,4.4,698,3,French,Upper West Side
Sugar Bar,NA,4.9,360,2,Soul food,Upper West Side
Sapphire,NA,4.4,1553,2,Indian,Lincoln Square
Lexington Pizza Parlour,3,4.6,5,2,Italian,East Harlem
Sojourn Restaurant,NA,4.6,1715,2,Contemporary American,Upper East Side
San Matteo Pizzeria e Cucina,10,4.7,216,2,Pizzeria,Upper East Side
Hudson West Kitchen + Craft Bar (formerly Ousia),9,4.6,943,3,American,Hell's Kitchen
HAVEN Riverfront Restaurant and Bar,19,4.6,2693,3,Contemporary American,Edgewater
Fleming's Steakhouse - Edgewater,11,4.7,988,3,Steak,Edgewater
The Leopard at des Artistes,59,4.6,2329,4,Italian,Upper West Side
The Mermaid Inn Uptown,124,4.8,3860,3,Seafood,Upper West Side
IL Carino Restaurant,5,4.6,168,3,Italian,Upper East Side
Dagon,29,4.6,420,3,Mediterranean,Upper West Side
Carmine's - 91st Street - NYC,129,4.5,6600,3,Italian,Upper West Side
Awadh,15,4.4,767,3,Indian,Upper West Side
Waterside Restaurant and Catering,18,4.3,1077,3,American,North Bergen
Serafina 105,NA,4.5,236,2,Italian,Upper West Side
Rebecca's,1,4.6,602,3,Cuban,Edgewater
Cafe Du Soleil,5,4.5,1277,3,French,Upper West Side
Elea,6,4.7,683,4,Greek,Upper West Side
Cibo e Vino,16,4.6,563,3,Italian,Upper West Side
Pier 115 Bar and Grill,25,4.4,710,2,American,Edgewater
Gyu-Kaku - Manhattan - Amsterdam Ave.,17,4.6,128,2,Japanese,Upper West Side
Calle Ocho,5,4.5,3893,3,Latin American,Upper West Side
Noche Mexicana,1,3.7,64,2,Mexican,Upper West Side
Nice Matin,58,4.4,3231,2,French,Upper West Side
French Roast Uptown,NA,4.5,397,3,French American,Upper West Side
The Milling Room,5,4.5,2021,3,American,Upper West Side
Le Monde,NA,4.4,365,2,French,Upper West Side
Tavern on the Green,243,4.7,12175,3,American,Midtown West
Cafe Luxembourg,134,4.7,6460,3,French American,Upper West Side
Momoya,75,4.6,71,3,Japanese,Upper West Side
Bodrum Turkish Mediterranean,18,4.7,1057,2,Turkish,Upper West Side
Osteria 106,12,4.7,442,2,Italian,Upper West Side
Son Cubano - New Jersey,89,4.4,1961,3,Cuban,West New York
Hi-Life Restaurant - Upper West Side,9,4.7,539,2,American,Upper West Side
Trattoria iL Gusto Wine Bar,8,4.4,314,2,Italian,Upper West Side
Lokal Mediterranean Kitchen,NA,4.5,513,3,Mediterranean,Upper West Side
La Sirene UWS,21,4.5,738,3,French,Upper West Side
Felice - Columbus Ave,72,4.4,87,2,Italian,Upper West Side
The Smith- Lincoln Square,265,4.6,8546,2,American,Lincoln Square
Pekarna,7,4.3,6,2,Contemporary American,Upper West Side
Shaking Crab - Upper West Side,NA,4.5,327,2,Cajun,Upper West Side
5 Napkin Burger - Upper West Side,9,4.5,1324,2,Burgers,Upper West Side
Salumeria Rosi,22,4.7,1246,3,Italian,Upper West Side
Sushi Yasaka,77,4.8,2221,3,Japanese,Upper West Side
Red Rooster Harlem,71,4.6,8210,3,Southern,Harlem
Serafina Upper West,22,4.5,438,2,Italian,Upper West Side
Sushi of Gari - Columbus Avenue,34,4.9,986,4,Sushi,Upper West Side
Haru Sushi - Amsterdam Ave,4,4.5,192,3,Japanese,Upper West Side
Ortomare Ristorante Pizzeria,27,4.8,168,2,Italian,Upper West Side
Marlow Bistro,7,4.5,263,2,Mediterranean,Upper West Side
Pappardella,35,4.5,1738,3,Italian,Upper West Side
Cafe Fiorello,110,4.6,7869,3,Italian,Lincoln Square
Boilery Upper West Side,NA,4.7,73,3,Seafood,Upper West Side
Anār Indian Cuisine,9,4.4,4,2,Indian,Upper West Side
Arte Cafe - Upper West Side,24,4.3,3291,3,Italian,Upper West Side
Row House,4,4.3,618,2,American,Harlem
Rustica Lounge Bar & Restaurant,56,3.9,324,3,Italian,Cliffside Park
Pomodoro Rosso,14,4.7,1368,2,Italian,Upper West Side
Island,41,4.4,533,3,American,Upper East Side
Lido,30,4.6,1450,2,Italian,Harlem
Sfoglia,53,4.8,1530,3,Italian,Upper East Side
New Amsterdam Burger and Bar,31,4.5,64,3,American,Upper West Side
Omakase Shiro,9,4.7,61,4,Sushi,Lincoln Square
Marcus at Nohu Rooftop,7,4.0,1177,2,American,Weehawken
The Highwood,6,4.5,236,2,American,Weehawken
Flame NYC - No Hibachi (Regular Tables Only),11,4.5,33,3,Asian,Upper West Side
Blue Ribbon Sushi Bar & Grill,7,4.7,138,4,Sushi,Columbus Circle
The Ribbon - UWS,15,4.4,1440,3,Contemporary American,Upper West Side
BIXI,11,4.7,5,2,Asian,Harlem
Empire Rooftop @ Empire Hotel,39,4.6,455,3,Bar / Lounge / Bottle Service,Lincoln Square
Orsay,70,4.5,2799,4,French,Upper East Side
Santa Fe,NA,4.6,672,3,Mexican / Southwestern,Upper West Side
Cafe d'Alsace,40,4.6,2376,2,French,Upper East Side
Rosa Mexicano by Lincoln Center,91,4.2,7865,3,Mexican,Lincoln Square
Maison Harlem,14,4.7,819,2,French,Harlem
Vicolina,6,4.5,239,3,Italian,Upper East Side
The Grange,5,4.5,412,3,American,Harlem
Toloache - Upper East Side,39,4.7,1163,3,Mexican,Upper East Side
Caravaggio New York,19,4.6,1100,3,Italian,Upper East Side
Thai72,NA,4.5,324,2,Thai,Upper West Side
Il Violino,NA,4.6,1482,3,Italian,Upper West Side
Bocado Cafe,24,4.5,750,2,American,Upper East Side
Korali,26,4.6,986,3,Greek,Upper East Side
Porter House Bar and Grill,57,4.7,4918,4,American,Midtown West
BLT Prime,17,4.7,443,2,Steakhouse,Upper East Side
Serafina 79,48,4.3,486,3,Italian,Upper East Side
Masseria dei Vini,32,4.7,1965,3,Italian,Midtown West
Coppola's West,9,4.3,1012,3,Italian,Upper West Side
Bettola NYC,2,4.5,512,2,Italian,Upper West Side
Barawine,23,4.5,479,2,French,Harlem
Villa Amalfi,NA,4.7,79,3,Italian,Cliffside Park
Shun Lee West,40,4.3,2882,3,Chinese,Lincoln Square
Siena Cafe,NA,4.5,288,3,Italian,Upper East Side
Blume/Hütte,7,4.5,149,3,Austrian,Upper East Side
Skinny's Cantina on the Hudson,NA,4.2,24,2,Mexican,Harlem
Tarallucci e Vino - Upper West Side,NA,4.6,144,3,Italian,Upper West Side
Jacques Brasserie,20,4.5,1048,3,French,Upper East Side
